sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
652,E,2,6.0,baseline,0,1,0,0,0,0,0,0.009210081771016121,0.009210081771016121,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
652,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008910195901989937,0.008910195901989937,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
652,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008668983355164528,0.008668983355164528,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
653,E,2,6.0,baseline,4,1,0,0,506,506,0,38.27290004119277,38.27290004119277,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[33, 57, 36, 48, 60, 39, 6, 35, 56, 32]",[],0,0,0,0,0,0,0,0
653,E,2,6.0,nsgrand,4,1,0,0,12,12,0,11.699067894369364,0.13231881894171238,0.0,0,18,1,3,0.8965291380882263,0.010266529396176338,ai,ai_success,standard,ai_search,"[3, 4]","[0, 1, 2]","[60, 33, 6, 8, 32, 28, 48, 63, 95, 55]","[0.00010027332609752193, 7.471780008927453e-06, 0.005767080467194319, 0.7218664884567261, 0.2619922161102295, 0.010266529396176338]",1200,4,0,0,0,1,0,0
653,E,2,6.0,strong_symbolic,4,1,0,0,482,482,0,166.9565299525857,166.9565299525857,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[33, 57, 36, 48, 60, 39, 6, 35, 56, 32]",[],0,0,0,0,0,0,0,0
654,E,2,6.0,baseline,0,1,0,0,0,0,0,0.01971004530787468,0.01971004530787468,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
654,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011109979823231697,0.011109979823231697,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
654,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008729984983801842,0.008729984983801842,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
655,E,2,6.0,baseline,1,1,0,0,2,2,0,33.902453957125545,33.902453957125545,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[41, 22, 127, 120, 0, 79, 115, 1, 96, 123]",[],0,0,0,0,0,0,0,0
